TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	WGE	Geodetic	WGE	Geocentric			-90.000000	0.000000	-100000.000000	0.000000	0.000000	-6256752.310000	0.000000	0.000000	-6256752.314245																						Successful-Equivalent
2	WGE	Geocentric	WGE	Geodetic			0.000000	0.000000	-6256752.310000	-90.000000	0.000000	-100000.000000	-90.000000	0.000000	-100000.004245																						Successful-Equivalent
3	WGE	Geodetic	WGE	Geocentric			-90.000000	0.000000	0.000000	0.000000	0.000000	-6356752.310000	0.000000	0.000000	-6356752.314245																						Successful-Equivalent
4	WGE	Geocentric	WGE	Geodetic			0.000000	0.000000	-6356752.310000	-90.000000	0.000000	0.000000	-90.000000	0.000000	-0.004245																						Successful-Equivalent
5	WGE	Geodetic	WGE	Geocentric			-90.000000	0.000000	100000.000000	0.000000	0.000000	-6456752.310000	0.000000	0.000000	-6456752.314245																						Successful-Equivalent
6	WGE	Geocentric	WGE	Geodetic			0.000000	0.000000	-6456752.310000	-90.000000	0.000000	100000.000000	-90.000000	0.000000	99999.995755																						Successful-Equivalent
7	WGE	Geodetic	WGE	Geocentric			-90.000000	0.000000	200000.000000	0.000000	0.000000	-6556752.310000	0.000000	0.000000	-6556752.314245																						Successful-Equivalent
8	WGE	Geocentric	WGE	Geodetic			0.000000	0.000000	-6556752.310000	-90.000000	0.000000	200000.000000	-90.000000	0.000000	199999.995755																						Successful-Equivalent
9	WGE	Geodetic	WGE	Geocentric			-90.000000	0.000000	300000.000000	0.000000	0.000000	-6656752.310000	0.000000	0.000000	-6656752.314245																						Successful-Equivalent
10	WGE	Geocentric	WGE	Geodetic			0.000000	0.000000	-6656752.310000	-90.000000	0.000000	300000.000000	-90.000000	0.000000	299999.995755																						Successful-Equivalent
11	WGE	Geodetic	WGE	Geocentric			-90.000000	0.000000	400000.000000	0.000000	0.000000	-6756752.310000	0.000000	0.000000	-6756752.314245																						Successful-Equivalent
12	WGE	Geocentric	WGE	Geodetic			0.000000	0.000000	-6756752.310000	-90.000000	0.000000	400000.000000	-90.000000	0.000000	399999.995755																						Successful-Equivalent
13	WGE	Geodetic	WGE	Geocentric			-90.000000	0.000000	500000.000000	0.000000	0.000000	-6856752.310000	0.000000	0.000000	-6856752.314245																						Successful-Equivalent
14	WGE	Geocentric	WGE	Geodetic			0.000000	0.000000	-6856752.310000	-90.000000	0.000000	500000.000000	-90.000000	0.000000	499999.995755																						Successful-Equivalent
