TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	WGE	Geodetic	ADI-E	Geodetic			12.281610	0.962170	237.240000	12.280767	0.962280	210.000000	12.280767	0.962280	210.003123																						Successful-Equivalent
2	WGE	Geodetic	ADI-F	Geodetic			3.830520	11.496750	203.200000	3.828966	11.496527	210.000000	3.828966	11.496527	209.996653																						Successful-Equivalent
3	WGE	Geodetic	ADI-A	Geodetic			7.426360	44.487350	218.580000	7.425174	44.486374	210.000000	7.425174	44.486374	209.998110																						Successful-Equivalent
4	WGE	Geodetic	ADI-C	Geodetic			16.690060	-3.298760	240.060000	16.689573	-3.298506	210.000000	16.689573	-3.298506	209.998126																						Successful-Equivalent
5	WGE	Geodetic	ADI-D	Geodetic			15.133910	-13.605150	240.870000	15.133260	-13.604707	210.000000	15.133260	-13.604707	210.003728																						Successful-Equivalent
6	WGE	Geodetic	ADI-D	Geodetic			13.565190	-14.323390	239.280000	13.564405	-14.322936	210.000000	13.564405	-14.322936	209.999161																						Successful-Equivalent
7	WGE	Geodetic	ADI-B	Geodetic			2.880450	21.177540	176.570000	2.878844	21.177134	209.990000	2.878844	21.177134	209.991656																						Successful-Equivalent
8	WGE	Geodetic	ADI-B	Geodetic			0.002220	22.000430	167.630000	0.000366	22.000005	210.000000	0.000366	22.000005	209.997795																						Successful-Equivalent
9	WGE	Geodetic	ADI-B	Geodetic			0.001490	22.000430	167.620000	-0.000364	22.000005	209.990000	-0.000364	22.000005	209.990407																						Successful-Equivalent
10	WGE	Geodetic	ADI-M	Geodetic			0.001850	5.500010	155.470000	0.000005	5.500001	209.990000	0.000005	5.500001	209.991868																						Warning-Equivalent
11	WGE	Geodetic	AFG	Geodetic			0.659480	42.356700	176.930000	0.659058	42.357522	210.000000	0.659058	42.357522	209.998096																						Successful-Equivalent
12	WGE	Geodetic	AIN-B	Geodetic			28.237190	38.207070	216.320000	28.236718	38.208058	210.000000	28.236717	38.208058	209.997875																						Successful-Equivalent
13	WGE	Geodetic	AIN-A	Geodetic			26.000490	50.999590	283.580000	26.000004	50.999997	310.000000	26.000004	50.999997	309.995681																						Successful-Equivalent
14	WGE	Geodetic	AMA	Geodetic			-13.663300	-170.715470	296.610000	-13.668227	-170.714222	249.290000	-13.668227	-170.714222	249.288301																						Successful-Equivalent
15	WGE	Geodetic	ANO	Geodetic			-11.800580	96.838740	146.420000	-11.804499	96.834243	176.560000	-11.804499	96.834243	176.556400																						Successful-Equivalent
