TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	WGE	Albers Equal Area	WGE	MGRS			-1885428.390000	-1535969.290000		43HEB0000026958			43HEB0000026956				-29.500000	-45.500000	96.000000	-23.000000	0.000000	0.000000															Successful-Different
2	ADI-M	Lambert Conformal Conic	ADI-M	MGRS			-55869.180000	553512.776000		30MYQ7827144687			30MYQ7827044687				-5.500000	-5.500000	0.000000	-5.500000	0.000000	0.000000															Warning-Equivalent
3	NAR-A	Mercator	NAR-A	MGRS			-19735085.530000	0.000000		01NAA6602100000			01NAA6602100000						0.000000	-10.000000	0.000000	0.000000															Warning-Equivalent
4	EUR-7	Polar Stereographic	EUR-7	MGRS			-1540033.610000	-560526.390000		56CMB1335873968			56CMB1335873967						-100.000000	-71.000000	0.000000	0.000000															Successful-Equivalent
5	WGC	Polyconic	WGC	MGRS			-20013.540000	4964881.900000		ZAG5362185632			ZAG5362085632						96.000000	45.000000	0.000000	0.000000															Successful-Equivalent
6	CAC	Stereographic	CAC	MGRS			109252.730000	-4646925.330000		BAG0000044516			BAG0000044515						170.000000	-45.000000	0.000000	0.000000															Warning-Equivalent
7	CAC	Azimuthal Equidistant	CAC	MGRS			-6439.690000	4948474.970000		ZAH5551500000			ZAH5551500000						96.000000	45.000000	0.000000	0.000000															Warning-Equivalent
8	CAC	Gnomonic	CAC	MGRS			943973.740000	-1606531.700000		17RND4798274115			17RND4798174115						-90.000000	45.000000	0.000000	0.000000															Successful-Equivalent
9	CAC	Orthographic	CAC	MGRS			-1102102.179000	-6250332.170000		01NAR6728253389			01NAR6728253389						-170.000000	90.000000	0.000000	0.000000															Warning-Equivalent
10	CAC	Miller Cylindrical	CAC	MGRS			-2779871.860000	-3437907.260000		43JES0000081396			43JES0000081394						100.000000		0.000000	0.000000															Warning-Different
11	CAC	Van der Grinten	CAC	MGRS			550037.520000	-14239017.220000		BAG0000044516			BAG0000044515						170.000000		0.000000	0.000000															Warning-Equivalent
12	CAC	Oblique Mercator	CAC	MGRS			6269400.300000	916375.300000		18TWA8435816825			18TWA8435816825				0.999600			40.000000	4000000.000000	500000.000000	-122.300000	47.500000	-80.200000	25.700000											Warning-Equivalent
13	NAR-A	Bonne	NAR-A	MGRS			1113029.510000	1089236.630000		01NAA6602100000			01NAA6602100000						170.000000	-10.000000	0.000000	0.000000															Warning-Equivalent
14	WGE	Cylindrical Equal Area	WGE	MGRS			-2152973.250000	-3951467.020000		43HEB0000026958			43HEB0000026956						96.000000	-23.000000	0.000000	0.000000															Successful-Different
