TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	ADI-M	Geodetic	ADI-M	MGRS			0.000000	-0.592263		30NYR6800500000			30NYR6800400000																								Warning-Equivalent
2	ADI-M	Geodetic	ADI-M	MGRS			0.000000	0.305024		31NBL0000000000			31NAL9999900000																								Warning-Different
3	ADI-M	Geodetic	ADI-M	MGRS			0.000000	1.202979		31NCL0000000000			31NCL0000000000																								Warning-Equivalent
4	ADI-M	Geodetic	ADI-M	MGRS			0.000000	2.101378		31NDL0000000000			31NCL9999900000																								Warning-Different
5	ADI-M	Geodetic	ADI-M	MGRS			0.000000	3.000000		31NEL0000000000			31NEL0000000000																								Warning-Equivalent
6	ADI-M	Geodetic	ADI-M	MGRS			0.000000	3.898622		31NFL0000000000			31NFL0000000000																								Warning-Equivalent
7	ADI-M	Geodetic	ADI-M	MGRS			0.000000	4.797021		31NGL0000000000			31NFL9999900000																								Warning-Different
8	ADI-M	Geodetic	ADI-M	MGRS			0.000000	5.694976		31NHL0000000000			31NHL0000000000																								Warning-Equivalent
9	ADI-M	Geodetic	ADI-M	MGRS			0.000000	6.592263		32NKR3199500000			32NKR3199500000																								Warning-Equivalent
10	ADI-M	Geodetic	ADI-M	MGRS			4.515012	-0.603386		30NYV6594399447			30NYV6594299446																								Warning-Equivalent
11	ADI-M	Geodetic	ADI-M	MGRS			4.518931	0.296671		31NBR0000000000			31NAR9999900000																								Warning-Different
12	ADI-M	Geodetic	ADI-M	MGRS			4.521734	1.197404		31NCR0000000000			31NBR9999900000																								Warning-Different
13	ADI-M	Geodetic	ADI-M	MGRS			4.523417	2.098589		31NDR0000000000			31NCQ9999999999																								Warning-Different
14	ADI-M	Geodetic	ADI-M	MGRS			4.523979	3.000000		31NER0000000000			31NER0000000000																								Warning-Equivalent
15	ADI-M	Geodetic	ADI-M	MGRS			4.523417	3.901411		31NFR0000000000			31NFQ0000099999																								Warning-Different
16	ADI-M	Geodetic	ADI-M	MGRS			4.521734	4.802596		31NGR0000000000			31NGR0000000000																								Warning-Equivalent
17	ADI-M	Geodetic	ADI-M	MGRS			4.518931	5.703329		31NHR0000000000			31NHR0000000000																								Warning-Equivalent
18	ADI-M	Geodetic	ADI-M	MGRS			4.515012	6.603386		32NKV3405799447			32NKV3405799446																								Warning-Equivalent
19	ADI-M	Geodetic	ADI-M	MGRS			9.029347	-0.637093		30PYE5977198847			30PYE5977098846																								Warning-Equivalent
20	ADI-M	Geodetic	ADI-M	MGRS			9.037229	0.271353		31PBA0000000000			31PBV0000099999																								Warning-Different
