TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	WGE	Geodetic	WGE	MGRS			0.000000	-0.592328	0.000000	30NYF6799300000			30NYF6799300000																								Successful-Equivalent
2	WGE	Geodetic	WGE	MGRS			0.000000	0.304977	0.000000	31NBA0000000000			31NBA0000000000																								Successful-Equivalent
3	WGE	Geodetic	WGE	MGRS			0.000000	1.202947	0.000000	31NCA0000000000			31NBA9999900000																								Successful-Different
4	WGE	Geodetic	WGE	MGRS			0.000000	2.101362	0.000000	31NDA0000000000			31NCA9999900000																								Successful-Different
5	WGE	Geodetic	WGE	MGRS			0.000000	3.000000	0.000000	31NEA0000000000			31NEA0000000000																								Successful-Equivalent
6	WGE	Geodetic	WGE	MGRS			0.000000	3.898638	0.000000	31NFA0000000000			31NFA0000000000																								Successful-Equivalent
7	WGE	Geodetic	WGE	MGRS			0.000000	4.797053	0.000000	31NGA0000000000			31NGA0000000000																								Successful-Equivalent
8	WGE	Geodetic	WGE	MGRS			0.000000	5.695023	0.000000	31NHA0000000000			31NGA9999900000																								Successful-Different
9	WGE	Geodetic	WGE	MGRS			0.000000	6.592328	0.000000	32NKF3200700000			32NKF3200600000																								Successful-Equivalent
10	WGE	Geodetic	WGE	MGRS			4.514598	-0.603452	0.000000	30NYK6593199447			30NYK6593199447																								Successful-Equivalent
11	WGE	Geodetic	WGE	MGRS			4.518516	0.296624	0.000000	31NBF0000000000			31NAF9999900000																								Successful-Different
12	WGE	Geodetic	WGE	MGRS			4.521318	1.197373	0.000000	31NCF0000000000			31NBE9999999999																								Successful-Different
13	WGE	Geodetic	WGE	MGRS			4.523001	2.098574	0.000000	31NDF0000000000			31NDE0000099999																								Successful-Different
14	WGE	Geodetic	WGE	MGRS			4.523563	3.000000	0.000000	31NEF0000000000			31NEF0000000000																								Successful-Equivalent
15	WGE	Geodetic	WGE	MGRS			4.523001	3.901426	0.000000	31NFF0000000000			31NEE9999999999																								Successful-Different
16	WGE	Geodetic	WGE	MGRS			4.521318	4.802627	0.000000	31NGF0000000000			31NGE0000099999																								Successful-Different
17	WGE	Geodetic	WGE	MGRS			4.518516	5.703376	0.000000	31NHF0000000000			31NHF0000000000																								Successful-Equivalent
18	WGE	Geodetic	WGE	MGRS			4.514598	6.603452	0.000000	32NKK3406999447			32NKK3406899447																								Successful-Equivalent
19	WGE	Geodetic	WGE	MGRS			9.028528	-0.637153	0.000000	30PYQ5976098847			30PYQ5976098847																								Successful-Equivalent
