TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	WGE	Geodetic	WGE	MGRS			-0.000005	-0.592333		30MYE6799399999			30MYE6799299999																								Successful-Equivalent
2	WGE	Geodetic	WGE	MGRS			-0.000005	0.304971		31MAV9999999999			31MAV9999999999																								Successful-Equivalent
3	WGE	Geodetic	WGE	MGRS			-0.000005	1.202942		31MBV9999999999			31MBV9999999999																								Successful-Equivalent
4	WGE	Geodetic	WGE	MGRS			-0.000005	2.101357		31MCV9999999999			31MCV9999999999																								Successful-Equivalent
5	WGE	Geodetic	WGE	MGRS			-0.000005	2.999995		31MDV9999999999			31MDV9999999999																								Successful-Equivalent
6	WGE	Geodetic	WGE	MGRS			-0.000005	3.898632		31MEV9999999999			31MEV9999999999																								Successful-Equivalent
7	WGE	Geodetic	WGE	MGRS			-0.000005	4.797047		31MFV9999999999			31MFV9999999999																								Successful-Equivalent
8	WGE	Geodetic	WGE	MGRS			-0.000005	5.695018		31MGV9999999999			31MGV9999999999																								Successful-Equivalent
9	WGE	Geodetic	WGE	MGRS			-0.000005	6.592322		32MKE3200699999			32MKE3200699999																								Successful-Equivalent
10	WGE	Geodetic	WGE	MGRS			4.514591	-0.603453		30NYK6593199446			30NYK6593099446																								Successful-Equivalent
11	WGE	Geodetic	WGE	MGRS			4.518510	0.296619		31NAE9999999999			31NAE9999999999																								Successful-Equivalent
12	WGE	Geodetic	WGE	MGRS			4.521313	1.197368		31NBE9999999999			31NBE9999999999																								Successful-Equivalent
13	WGE	Geodetic	WGE	MGRS			4.522996	2.098568		31NCE9999999999			31NCE9999999999																								Successful-Equivalent
14	WGE	Geodetic	WGE	MGRS			4.523557	2.999995		31NDE9999999999			31NDE9999999999																								Successful-Equivalent
15	WGE	Geodetic	WGE	MGRS			4.522996	3.901421		31NEE9999999999			31NEE9999999999																								Successful-Equivalent
16	WGE	Geodetic	WGE	MGRS			4.521313	4.802622		31NFE9999999999			31NFE9999999999																								Successful-Equivalent
17	WGE	Geodetic	WGE	MGRS			4.518510	5.703370		31NGE9999999999			31NGE9999999999																								Successful-Equivalent
18	WGE	Geodetic	WGE	MGRS			4.514591	6.603443		32NKK3406899446			32NKK3406799446																								Successful-Equivalent
19	WGE	Geodetic	WGE	MGRS			9.028518	-0.637160		30PYQ5975998846			30PYQ5975998845																								Successful-Equivalent
20	WGE	Geodetic	WGE	MGRS			9.036403	0.271302		31PAK9999999999			31PAK9999999999																								Successful-Equivalent
