TEST CASE ID	INPUT DATUM(Code)	OUTPUT PROJECTION	OUTPUT DATUM(Code)	INPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	WGE	Geodetic	WGE	MGRS			-80.075280	-174.805570		AZB0000000003			AZB0000000003																								Successful-Equivalent
2	WGE	Geodetic	WGE	MGRS			-80.115840	180.000000		BAB0000000003			BAB0000000003																								Successful-Equivalent
3	WGE	Geodetic	WGE	MGRS			-80.075280	174.805570		BBB0000000003			BAB9999900003																								Successful-Different
4	WGE	Geodetic	WGE	MGRS			-80.321260	-158.198590		AUC0000100003			AUC0000100002																								Successful-Equivalent
5	WGE	Geodetic	WGE	MGRS			-80.616540	-163.300760		AXC0000100003			AXC0000000002																								Successful-Equivalent
6	WGE	Geodetic	WGE	MGRS			-80.833390	-168.690070		AYC0000100003			AYC0000000003																								Successful-Equivalent
7	WGE	Geodetic	WGE	MGRS			-80.966030	-174.289410		AZC0000000003			AZC0000000002																								Successful-Equivalent
8	WGE	Geodetic	WGE	MGRS			-81.010690	180.000000		BAC0000000003			BAC0000000002																								Successful-Equivalent
9	WGE	Geodetic	WGE	MGRS			-80.966030	174.289410		BBC0000000003			BAC9999900002																								Successful-Different
10	WGE	Geodetic	WGE	MGRS			-80.833390	168.690070		BBC9999900003			BBC9999900003																								Successful-Equivalent
11	WGE	Geodetic	WGE	MGRS			-80.616540	163.300760		BCC9999900003			BCC9999900002																								Successful-Equivalent
12	WGE	Geodetic	WGE	MGRS			-80.321260	158.198590		BFC9999900003			BFC9999800002																								Successful-Equivalent
13	WGE	Geodetic	WGE	MGRS			-80.746030	-119.054600		APH0000300001			APH0000200001																								Successful-Equivalent
14	WGE	Geodetic	WGE	MGRS			-81.517670	-122.005380		AQH0000200001			AQH0000200001																								Successful-Equivalent
15	WGE	Geodetic	WGE	MGRS			-82.263140	-125.537680		ARH0000200001			ARH0000100001																								Successful-Equivalent
16	WGE	Geodetic	WGE	MGRS			-82.973730	-129.805570		ASH0000200001			ASH0000100001																								Successful-Equivalent
17	WGE	Geodetic	WGE	MGRS			-83.637340	-135.000000		ATH0000100001			ATH0000100001																								Successful-Equivalent
18	WGE	Geodetic	WGE	MGRS			-84.237340	-141.340190		AUH0000100001			AUH0000100001																								Successful-Equivalent
19	WGE	Geodetic	WGE	MGRS			-84.751560	-149.036240		AXH0000100001			AXH0000100001																								Successful-Equivalent
20	WGE	Geodetic	WGE	MGRS			-85.152330	-158.198590		AYH0000100001			AYH0000000001																								Successful-Equivalent
21	WGE	Geodetic	WGE	MGRS			-85.409650	-168.690070		AZH0000000001			AZH0000000001																								Successful-Equivalent
