TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	WGE	Geodetic	WGE	MGRS			40.000000	-90.000000		16TBK4390032069			16TBK4390032069																								Successful-Equivalent
2	WGE	MGRS	WGE	Geodetic			16TBK4390032069			40.000000	-90.000010		39.999999	-90.000004																							Successful-Equivalent
3	WGE	Geodetic	WGE	MGRS			40.000000	-180.000000		01TBE4390032069			01TBE4390032069																								Successful-Equivalent
4	WGE	MGRS	WGE	Geodetic			01TBE4390032069			40.000000	-180.000000		39.999999	179.999996																							Successful-Equivalent
5	WGE	Geodetic	WGE	MGRS			40.000000	179.999990		60TYK5609932068			60TYK5609832069																								Successful-Equivalent
6	WGE	MGRS	WGE	Geodetic			60TYK5609932068			40.000000	179.999990		39.999991	179.999992																							Successful-Equivalent
7	WGE	Geodetic	WGE	MGRS			0.000000	0.000000		31NAA6602100000			31NAA6602100000																								Successful-Equivalent
8	WGE	MGRS	WGE	Geodetic			31NAA6602100000			0.000000	0.000000		0.000000	-0.000004																							Successful-Equivalent
9	WGE	Geodetic	WGE	MGRS			0.000000	-0.000010		30NZF3397700000			30NZF3397700000																								Successful-Equivalent
10	WGE	MGRS	WGE	Geodetic			30NZF3397700000			0.000000	-0.000010		0.000000	-0.000014																							Successful-Equivalent
11	WGE	Geodetic	WGE	MGRS			0.000000	-3.000000		30NWF0000000000			30NWF0000000000																								Successful-Equivalent
12	WGE	MGRS	WGE	Geodetic			30NWF0000000000			0.000000	-3.000000		0.000000	-3.000000																							Successful-Equivalent
13	WGE	Geodetic	WGE	MGRS			84.200000	0.000000		ZAA0000055534			ZAA0000055533																								Successful-Equivalent
14	WGE	MGRS	WGE	Geodetic			ZAA0000055534			84.200000	0.000000		84.200003	0.000000																							Successful-Equivalent
15	WGE	Geodetic	WGE	MGRS			-40.000000	-180.000000		01HBR4390067931			01HBR4390067930																								Successful-Equivalent
16	WGE	MGRS	WGE	Geodetic			01HBR4390067931			-40.000000	-180.000000		-39.999999	179.999996																							Successful-Equivalent
17	WGE	Geodetic	WGE	MGRS			-80.200000	-180.000000		BAB0000009413			AZB9999909413																								Successful-Different
18	WGE	MGRS	WGE	Geodetic			BAB0000009413			-80.200000	-180.000000		-80.199996	180.000000																							Successful-Equivalent
19	WGE	Geodetic	WGE	MGRS			-79.999900	90.000000		46CDS4186716926			46CDS4186716926																								Successful-Equivalent
20	WGE	MGRS	WGE	Geodetic			46CDS4186716926			-79.999900	90.000000		-79.999902	89.999989																							Successful-Equivalent
