TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	AMA	Geodetic	WGE	Geodetic			-13.668226	-170.714218		-13.663298	-170.715466		-13.663298	-170.715466																							Successful-Equivalent
2	ARS-A	Geodetic	WGE	Geodetic			0.031230	38.323210		0.028523	38.324071		0.028523	38.324070																							Successful-Equivalent
3	ARS-B	Geodetic	WGE	Geodetic			-5.000000	35.000000		-5.002306	35.000735		-5.002306	35.000735																							Successful-Equivalent
4	ASC	Geodetic	WGE	Geodetic			-6.045453	-14.327187		-6.045018	-14.326709		-6.045018	-14.326708																							Successful-Equivalent
5	ASQ	Geodetic	WGE	Geodetic			24.285535	153.981502		24.285507	153.983037		24.285507	153.983037																							Successful-Equivalent
6	BER	Geodetic	WGE	Geodetic			32.353821	-64.656091		32.355218	-64.655824		32.355218	-64.655824																							Successful-Equivalent
7	BOO	Geodetic	WGE	Geodetic			5.467158	-73.734614		5.464318	-73.731188		5.464317	-73.731186																							Successful-Equivalent
8	CAC	Geodetic	WGE	Geodetic			28.227524	-80.605929		28.227815	-80.605698		28.227814	-80.605698																							Successful-Equivalent
9	IND-I	Geodetic	WGE	Geodetic			31.596000	74.832400		31.595729	74.831429		31.595729	74.831429																							Successful-Equivalent
10	IND-I	Geodetic	WGE	Geodetic			27.758100	85.343500		27.758332	85.341123		27.758332	85.341123																							Successful-Equivalent
11	KAN	Geodetic	WGE	Geodetic			7.205292	79.963384		7.205616	79.965491		7.205616	79.965491																							Successful-Equivalent
12	KUS	Geodetic	WGE	Geodetic			5.330177	163.029623		5.319989	163.012587		5.319989	163.012586																							Successful-Equivalent
13	NAS-L	Geodetic	WGE	Geodetic			23.921640	-104.994744		23.922067	-104.995188		23.922067	-104.995188																							Successful-Equivalent
14	NAS-U	Geodetic	WGE	Geodetic			76.501266	-68.533589		76.501592	-68.531596		76.501592	-68.531596																							Successful-Equivalent
15	OHA-A	Geodetic	WGE	Geodetic			18.961273	-155.681759		18.958293	-155.678997		18.958293	-155.678997																							Successful-Equivalent
16	OHA-B	Geodetic	WGE	Geodetic			22.026396	-159.782101		22.023269	-159.779314		22.023269	-159.779314																							Successful-Equivalent
17	OHA-C	Geodetic	WGE	Geodetic			20.707297	-156.256188		20.704092	-156.253390		20.704091	-156.253388																							Successful-Equivalent
18	PIT	Geodetic	WGE	Geodetic			-24.926507	-130.105939		-24.926467	-130.105591		-24.926467	-130.105590																							Successful-Equivalent
19	PLN	Geodetic	WGE	Geodetic			27.764305	-15.633814		27.765779	-15.635552		27.765779	-15.635552																							Successful-Equivalent
