TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	ADI-M	MGRS	ADI-M	Geodetic			30NYR6800500000 			0.000000	-0.592290		0.000000	-0.592263																							Warning-Equivalent
2	ADI-M	MGRS	ADI-M	Geodetic			31NBL0000000000 			0.000000	0.305010		0.000000	0.305024																							Warning-Equivalent
3	ADI-M	MGRS	ADI-M	Geodetic			31NCL0000000000 			0.000000	1.202970		0.000000	1.202979																							Warning-Equivalent
4	ADI-M	MGRS	ADI-M	Geodetic			31NDL0000000000 			0.000000	2.101370		0.000000	2.101378																							Warning-Equivalent
5	ADI-M	MGRS	ADI-M	Geodetic			31NEL0000000000 			0.000000	3.000000		0.000000	3.000000																							Warning-Equivalent
6	ADI-M	MGRS	ADI-M	Geodetic			31NFL0000000000 			0.000000	3.898630		0.000000	3.898622																							Warning-Equivalent
7	ADI-M	MGRS	ADI-M	Geodetic			31NGL0000000000 			0.000000	4.797030		0.000000	4.797021																							Warning-Equivalent
8	ADI-M	MGRS	ADI-M	Geodetic			31NHL0000000000 			0.000000	5.694990		0.000000	5.694976																							Warning-Equivalent
9	ADI-M	MGRS	ADI-M	Geodetic			32NKR3199500000 			0.000000	6.592290		0.000000	6.592263																							Warning-Equivalent
10	ADI-M	MGRS	ADI-M	Geodetic			30NYV6594399447 			4.514880	-0.603410		4.515012	-0.603386																							Warning-Equivalent
11	ADI-M	MGRS	ADI-M	Geodetic			31NBR0000000000 			4.518800	0.296650		4.518931	0.296671																							Warning-Equivalent
12	ADI-M	MGRS	ADI-M	Geodetic			31NCR0000000000 			4.521610	1.197390		4.521734	1.197404																							Warning-Equivalent
13	ADI-M	MGRS	ADI-M	Geodetic			31NDR0000000000 			4.523290	2.098580		4.523417	2.098589																							Warning-Equivalent
14	ADI-M	MGRS	ADI-M	Geodetic			31NER0000000000 			4.523850	3.000000		4.523979	3.000000																							Warning-Equivalent
15	ADI-M	MGRS	ADI-M	Geodetic			31NFR0000000000 			4.523290	3.901420		4.523417	3.901411																							Warning-Equivalent
16	ADI-M	MGRS	ADI-M	Geodetic			31NGR0000000000 			4.521610	4.802610		4.521734	4.802596																							Warning-Equivalent
17	ADI-M	MGRS	ADI-M	Geodetic			31NHR0000000000 			4.518800	5.703350		4.518931	5.703329																							Warning-Equivalent
18	ADI-M	MGRS	ADI-M	Geodetic			32NKV3405799447 			4.514880	6.603410		4.515012	6.603386																							Warning-Equivalent
19	ADI-M	MGRS	ADI-M	Geodetic			30PYE5977198847 			9.029090	-0.637120		9.029347	-0.637093																							Warning-Equivalent
