TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	WGE	MGRS	WGE	Geodetic			30NYF6799300000 			0.000000	-0.592330	0.000000	0.000000	-0.592328	0.000000																						Successful-Equivalent
2	WGE	MGRS	WGE	Geodetic			31NBA0000000000 			0.000000	0.304980	0.000000	0.000000	0.304977	0.000000																						Successful-Equivalent
3	WGE	MGRS	WGE	Geodetic			31NCA0000000000 			0.000000	1.202950	0.000000	0.000000	1.202947	0.000000																						Successful-Equivalent
4	WGE	MGRS	WGE	Geodetic			31NDA0000000000 			0.000000	2.101360	0.000000	0.000000	2.101362	0.000000																						Successful-Equivalent
5	WGE	MGRS	WGE	Geodetic			31NEA0000000000 			0.000000	3.000000	0.000000	0.000000	3.000000	0.000000																						Successful-Equivalent
6	WGE	MGRS	WGE	Geodetic			31NFA0000000000 			0.000000	3.898640	0.000000	0.000000	3.898638	0.000000																						Successful-Equivalent
7	WGE	MGRS	WGE	Geodetic			31NGA0000000000 			0.000000	4.797050	0.000000	0.000000	4.797053	0.000000																						Successful-Equivalent
8	WGE	MGRS	WGE	Geodetic			31NHA0000000000 			0.000000	5.695020	0.000000	0.000000	5.695023	0.000000																						Successful-Equivalent
9	WGE	MGRS	WGE	Geodetic			32NKF3200700000 			0.000000	6.592330	0.000000	0.000000	6.592328	0.000000																						Successful-Equivalent
10	WGE	MGRS	WGE	Geodetic			30NYK6593199447 			4.514600	-0.603450	0.000000	4.514598	-0.603452	0.000000																						Successful-Equivalent
11	WGE	MGRS	WGE	Geodetic			31NBF0000000000 			4.518520	0.296620	0.000000	4.518516	0.296624	0.000000																						Successful-Equivalent
12	WGE	MGRS	WGE	Geodetic			31NCF0000000000 			4.521320	1.197370	0.000000	4.521318	1.197373	0.000000																						Successful-Equivalent
13	WGE	MGRS	WGE	Geodetic			31NDF0000000000 			4.523000	2.098570	0.000000	4.523001	2.098574	0.000000																						Successful-Equivalent
14	WGE	MGRS	WGE	Geodetic			31NEF0000000000 			4.523560	3.000000	0.000000	4.523563	3.000000	0.000000																						Successful-Equivalent
15	WGE	MGRS	WGE	Geodetic			31NFF0000000000 			4.523000	3.901430	0.000000	4.523001	3.901426	0.000000																						Successful-Equivalent
16	WGE	MGRS	WGE	Geodetic			31NGF0000000000 			4.521320	4.802630	0.000000	4.521318	4.802627	0.000000																						Successful-Equivalent
17	WGE	MGRS	WGE	Geodetic			31NHF0000000000 			4.518520	5.703380	0.000000	4.518516	5.703376	0.000000																						Successful-Equivalent
