TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	WGE	MGRS	WGE	Geodetic			30MYE6799399999 			-0.000005	-0.592333		-0.000009	-0.592328																							Successful-Equivalent
2	WGE	MGRS	WGE	Geodetic			31MAV9999999999 			-0.000005	0.304971		-0.000009	0.304968																							Successful-Equivalent
3	WGE	MGRS	WGE	Geodetic			31MBV9999999999 			-0.000005	1.202942		-0.000009	1.202938																							Successful-Equivalent
4	WGE	MGRS	WGE	Geodetic			31MCV9999999999 			-0.000005	2.101357		-0.000009	2.101353																							Successful-Equivalent
5	WGE	MGRS	WGE	Geodetic			31MDV9999999999 			-0.000005	2.999995		-0.000009	2.999991																							Successful-Equivalent
6	WGE	MGRS	WGE	Geodetic			31MEV9999999999 			-0.000005	3.898632		-0.000009	3.898629																							Successful-Equivalent
7	WGE	MGRS	WGE	Geodetic			31MFV9999999999 			-0.000005	4.797047		-0.000009	4.797044																							Successful-Equivalent
8	WGE	MGRS	WGE	Geodetic			31MGV9999999999 			-0.000005	5.695018		-0.000009	5.695014																							Successful-Equivalent
9	WGE	MGRS	WGE	Geodetic			32MKE3200699999 			-0.000005	6.592322		-0.000009	6.592319																							Successful-Equivalent
10	WGE	MGRS	WGE	Geodetic			30NYK6593199446 			4.514591	-0.603453		4.514589	-0.603452																							Successful-Equivalent
11	WGE	MGRS	WGE	Geodetic			31NAE9999999999 			4.518510	0.296619		4.518506	0.296615																							Successful-Equivalent
12	WGE	MGRS	WGE	Geodetic			31NBE9999999999 			4.521313	1.197368		4.521309	1.197364																							Successful-Equivalent
13	WGE	MGRS	WGE	Geodetic			31NCE9999999999 			4.522996	2.098568		4.522992	2.098565																							Successful-Equivalent
14	WGE	MGRS	WGE	Geodetic			31NDE9999999999 			4.523557	2.999995		4.523554	2.999991																							Successful-Equivalent
15	WGE	MGRS	WGE	Geodetic			31NEE9999999999 			4.522996	3.901421		4.522992	3.901417																							Successful-Equivalent
16	WGE	MGRS	WGE	Geodetic			31NFE9999999999 			4.521313	4.802622		4.521309	4.802618																							Successful-Equivalent
17	WGE	MGRS	WGE	Geodetic			31NGE9999999999 			4.518510	5.703370		4.518507	5.703367																							Successful-Equivalent
18	WGE	MGRS	WGE	Geodetic			32NKK3406899446 			4.514591	6.603443		4.514588	6.603443																							Successful-Equivalent
19	WGE	MGRS	WGE	Geodetic			30PYQ5975998846 			9.028518	-0.637160		9.028519	-0.637163																							Successful-Equivalent
20	WGE	MGRS	WGE	Geodetic			31PAK9999999999 			9.036403	0.271302		9.036399	0.271298																							Successful-Equivalent
