TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	WGE	MGRS	WGE	Geodetic			AZB0000000003 			-80.075280	-174.805570		-80.075273	-174.805557																							Successful-Equivalent
2	WGE	MGRS	WGE	Geodetic			BAB0000000003 			-80.115840	180.000000		-80.115838	180.000000																							Successful-Equivalent
3	WGE	MGRS	WGE	Geodetic			BBB0000000003 			-80.075280	174.805570		-80.075273	174.805557																							Successful-Equivalent
4	WGE	MGRS	WGE	Geodetic			AUC0000100003 			-80.321260	-158.198590		-80.321261	-158.198581																							Successful-Equivalent
5	WGE	MGRS	WGE	Geodetic			AXC0000100003 			-80.616540	-163.300760		-80.616546	-163.300761																							Successful-Equivalent
6	WGE	MGRS	WGE	Geodetic			AYC0000100003 			-80.833390	-168.690070		-80.833389	-168.690090																							Successful-Equivalent
7	WGE	MGRS	WGE	Geodetic			AZC0000000003 			-80.966030	-174.289410		-80.966033	-174.289390																							Successful-Equivalent
8	WGE	MGRS	WGE	Geodetic			BAC0000000003 			-81.010690	180.000000		-81.010690	180.000000																							Successful-Equivalent
9	WGE	MGRS	WGE	Geodetic			BBC0000000003 			-80.966030	174.289410		-80.966033	174.289390																							Successful-Equivalent
10	WGE	MGRS	WGE	Geodetic			BBC9999900003 			-80.833390	168.690070		-80.833389	168.690090																							Successful-Equivalent
11	WGE	MGRS	WGE	Geodetic			BCC9999900003 			-80.616540	163.300760		-80.616546	163.300761																							Successful-Equivalent
12	WGE	MGRS	WGE	Geodetic			BFC9999900003 			-80.321260	158.198590		-80.321261	158.198581																							Successful-Equivalent
13	WGE	MGRS	WGE	Geodetic			APH0000300001 			-80.746030	-119.054600		-80.746031	-119.054637																							Successful-Equivalent
14	WGE	MGRS	WGE	Geodetic			AQH0000200001 			-81.517670	-122.005380		-81.517661	-122.005396																							Successful-Equivalent
15	WGE	MGRS	WGE	Geodetic			ARH0000200001 			-82.263140	-125.537680		-82.263142	-125.537701																							Successful-Equivalent
16	WGE	MGRS	WGE	Geodetic			ASH0000200001 			-82.973730	-129.805570		-82.973731	-129.805609																							Successful-Equivalent
17	WGE	MGRS	WGE	Geodetic			ATH0000100001 			-83.637340	-135.000000		-83.637330	-135.000000																							Successful-Equivalent
18	WGE	MGRS	WGE	Geodetic			AUH0000100001 			-84.237340	-141.340190		-84.237336	-141.340206																							Successful-Equivalent
19	WGE	MGRS	WGE	Geodetic			AXH0000100001 			-84.751560	-149.036240		-84.751554	-149.036277																							Successful-Equivalent
