TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	ADI-M	MGRS	ADI-M	UTM		30	30NYR6800500000 			768005.000000	0.000000		768005.000638	0.000000		30																					Warning-Equivalent
2	ADI-M	MGRS	ADI-M	UTM		31	31NBL0000000000 			200000.000000	0.000000		200000.000001	0.000000		31																					Warning-Equivalent
3	ADI-M	MGRS	ADI-M	UTM		31	31NCL0000000000 			300000.000000	0.000000		300000.000000	0.000000		31																					Warning-Equivalent
4	ADI-M	MGRS	ADI-M	UTM		31	31NDL0000000000 			400000.000000	0.000000		400000.000000	0.000000		31																					Warning-Equivalent
5	ADI-M	MGRS	ADI-M	UTM		31	31NEL0000000000 			500000.000000	0.000000		500000.000000	0.000000		31																					Warning-Equivalent
6	ADI-M	MGRS	ADI-M	UTM		31	31NFL0000000000 			600000.000000	0.000000		600000.000000	0.000000		31																					Warning-Equivalent
7	ADI-M	MGRS	ADI-M	UTM		31	31NGL0000000000 			700000.000000	0.000000		700000.000000	0.000000		31																					Warning-Equivalent
8	ADI-M	MGRS	ADI-M	UTM		31	31NHL0000000000 			800000.000000	0.000000		799999.999999	0.000000		31																					Warning-Equivalent
9	ADI-M	MGRS	ADI-M	UTM		32	32NKR3199500000 			231995.000000	0.000000		231995.000000	0.000000		32																					Warning-Equivalent
10	ADI-M	MGRS	ADI-M	UTM		30	30NYV6594399447 			765943.000000	499447.000000		765943.000636	499447.000002		30																					Warning-Equivalent
11	ADI-M	MGRS	ADI-M	UTM		31	31NBR0000000000 			200000.000000	500000.000000		200000.000001	500000.000000		31																					Warning-Equivalent
12	ADI-M	MGRS	ADI-M	UTM		31	31NCR0000000000 			300000.000000	500000.000000		300000.000000	500000.000000		31																					Warning-Equivalent
13	ADI-M	MGRS	ADI-M	UTM		31	31NDR0000000000 			400000.000000	500000.000000		400000.000000	500000.000000		31																					Warning-Equivalent
14	ADI-M	MGRS	ADI-M	UTM		31	31NER0000000000 			500000.000000	500000.000000		500000.000000	500000.000000		31																					Warning-Equivalent
15	ADI-M	MGRS	ADI-M	UTM		31	31NFR0000000000 			600000.000000	500000.000000		600000.000000	500000.000000		31																					Warning-Equivalent
16	ADI-M	MGRS	ADI-M	UTM		31	31NGR0000000000 			700000.000000	500000.000000		700000.000000	500000.000000		31																					Warning-Equivalent
17	ADI-M	MGRS	ADI-M	UTM		31	31NHR0000000000 			800000.000000	500000.000000		799999.999999	500000.000000		31																					Warning-Equivalent
