TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	WGE	MGRS	WGE	UTM		30	30NYF6799300000 			767993.000000	0.000000		767993.000638	0.000000		30																					Successful-Equivalent
2	WGE	MGRS	WGE	UTM		31	31NBA0000000000 			200000.000000	0.000000		200000.000001	0.000000		31																					Successful-Equivalent
3	WGE	MGRS	WGE	UTM		31	31NCA0000000000 			300000.000000	0.000000		300000.000000	0.000000		31																					Successful-Equivalent
4	WGE	MGRS	WGE	UTM		31	31NDA0000000000 			400000.000000	0.000000		400000.000000	0.000000		31																					Successful-Equivalent
5	WGE	MGRS	WGE	UTM		31	31NEA0000000000 			500000.000000	0.000000		500000.000000	0.000000		31																					Successful-Equivalent
6	WGE	MGRS	WGE	UTM		31	31NFA0000000000 			600000.000000	0.000000		600000.000000	0.000000		31																					Successful-Equivalent
7	WGE	MGRS	WGE	UTM		31	31NGA0000000000 			700000.000000	0.000000		700000.000000	0.000000		31																					Successful-Equivalent
8	WGE	MGRS	WGE	UTM		31	31NHA0000000000 			800000.000000	0.000000		799999.999999	0.000000		31																					Successful-Equivalent
9	WGE	MGRS	WGE	UTM		32	32NKF3200700000 			232007.000000	0.000000		232007.000000	0.000000		32																					Successful-Equivalent
10	WGE	MGRS	WGE	UTM		30	30NYK6593199447 			765931.000000	499447.000000		765931.000636	499447.000002		30																					Successful-Equivalent
11	WGE	MGRS	WGE	UTM		31	31NBF0000000000 			200000.000000	500000.000000		200000.000001	500000.000000		31																					Successful-Equivalent
12	WGE	MGRS	WGE	UTM		31	31NCF0000000000 			300000.000000	500000.000000		300000.000000	500000.000000		31																					Successful-Equivalent
13	WGE	MGRS	WGE	UTM		31	31NDF0000000000 			400000.000000	500000.000000		400000.000000	500000.000000		31																					Successful-Equivalent
14	WGE	MGRS	WGE	UTM		31	31NEF0000000000 			500000.000000	500000.000000		500000.000000	500000.000000		31																					Successful-Equivalent
15	WGE	MGRS	WGE	UTM		31	31NFF0000000000 			600000.000000	500000.000000		600000.000000	500000.000000		31																					Successful-Equivalent
16	WGE	MGRS	WGE	UTM		31	31NGF0000000000 			700000.000000	500000.000000		700000.000000	500000.000000		31																					Successful-Equivalent
17	WGE	MGRS	WGE	UTM		31	31NHF0000000000 			800000.000000	500000.000000		799999.999999	500000.000000		31																					Successful-Equivalent
18	WGE	MGRS	WGE	UTM		32	32NKK3406999447 			234069.000000	499447.000000		234069.000000	499447.000000		32																					Successful-Equivalent
