TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	WGE	MGRS	WGE	UTM		-30	30MYE6799399999 			767992.500000	9999999.400000		767993.000638	9999999.000000		-30																					Successful-Equivalent
2	WGE	MGRS	WGE	UTM		-31	31MAV9999999999 			199999.400000	9999999.400000		199999.000001	9999999.000000		-31																					Successful-Equivalent
3	WGE	MGRS	WGE	UTM		-31	31MBV9999999999 			299999.400000	9999999.400000		299999.000000	9999999.000000		-31																					Successful-Equivalent
4	WGE	MGRS	WGE	UTM		-31	31MCV9999999999 			399999.400000	9999999.400000		399999.000000	9999999.000000		-31																					Successful-Equivalent
5	WGE	MGRS	WGE	UTM		-31	31MDV9999999999 			499999.400000	9999999.400000		499999.000000	9999999.000000		-31																					Successful-Equivalent
6	WGE	MGRS	WGE	UTM		-31	31MEV9999999999 			599999.400000	9999999.400000		599999.000000	9999999.000000		-31																					Successful-Equivalent
7	WGE	MGRS	WGE	UTM		-31	31MFV9999999999 			699999.400000	9999999.400000		699999.000000	9999999.000000		-31																					Successful-Equivalent
8	WGE	MGRS	WGE	UTM		-31	31MGV9999999999 			799999.400000	9999999.400000		799998.999999	9999999.000000		-31																					Successful-Equivalent
9	WGE	MGRS	WGE	UTM		-32	32MKE3200699999 			232006.300000	9999999.400000		232006.000000	9999999.000000		-32																					Successful-Equivalent
10	WGE	MGRS	WGE	UTM		30	30NYK6593199446 			765930.900000	499446.300000		765931.000636	499446.000002		30																					Successful-Equivalent
11	WGE	MGRS	WGE	UTM		31	31NAE9999999999 			199999.400000	499999.400000		199999.000001	499999.000000		31																					Successful-Equivalent
12	WGE	MGRS	WGE	UTM		31	31NBE9999999999 			299999.400000	499999.400000		299999.000000	499999.000000		31																					Successful-Equivalent
13	WGE	MGRS	WGE	UTM		31	31NCE9999999999 			399999.400000	499999.400000		399999.000000	499999.000000		31																					Successful-Equivalent
14	WGE	MGRS	WGE	UTM		31	31NDE9999999999 			499999.400000	499999.400000		499999.000000	499999.000000		31																					Successful-Equivalent
15	WGE	MGRS	WGE	UTM		31	31NEE9999999999 			599999.400000	499999.400000		599999.000000	499999.000000		31																					Successful-Equivalent
16	WGE	MGRS	WGE	UTM		31	31NFE9999999999 			699999.400000	499999.400000		699999.000000	499999.000000		31																					Successful-Equivalent
17	WGE	MGRS	WGE	UTM		31	31NGE9999999999 			799999.400000	499999.400000		799998.999999	499999.000000		31																					Successful-Equivalent
18	WGE	MGRS	WGE	UTM		32	32NKK3406899446 			234067.900000	499446.300000		234068.000000	499446.000000		32																					Successful-Equivalent
