TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	CAC	Geodetic	CAC	Albers Equal Area			35.000000	-75.000000		1885472.726000	1535925.005000		1885472.725813	1535925.004984													29.500000	45.500000	-96.000000	23.000000	0.000000	0.000000					Successful-Equivalent
2	CAC	Albers Equal Area	CAC	Geodetic			1885472.730000	1535925.000000		35.000000	-75.000000		35.000000	-75.000000			29.500000	45.500000	-96.000000	23.000000	0.000000	0.000000															Successful-Equivalent
3	WGE	Geodetic	WGE	Albers Equal Area			-35.000000	75.000000		-1885428.391000	-1535969.286000		-1885428.390532	-1535969.285828													-29.500000	-45.500000	96.000000	-23.000000	0.000000	0.000000					Successful-Equivalent
4	WGE	Albers Equal Area	WGE	Geodetic			-1885428.390000	-1535969.290000		-35.000000	75.000000		-35.000000	75.000000			-29.500000	-45.500000	96.000000	-23.000000	0.000000	0.000000															Successful-Equivalent
5	ADI-M	Geodetic	ADI-M	Albers Equal Area			-0.500000	-0.500000		-55196.773510	1049933.634000		-55196.773505	1049933.634463													-5.500000	10.500000	0.000000	-10.000000	0.000000	0.000000					Warning-Equivalent
6	ADI-M	Albers Equal Area	ADI-M	Geodetic			-55196.770000	1049933.630000		-0.500000	-0.500000		-0.500000	-0.500000			-5.500000	10.500000	0.000000	-10.000000	0.000000	0.000000															Warning-Equivalent
7	ADI-M	Geodetic	ADI-M	Albers Equal Area			0.000000	0.000000		0.000000	1105679.860000		0.000000	1105679.859869													-5.500000	10.500000	0.000000	-10.000000	0.000000	0.000000					Warning-Equivalent
8	ADI-M	Albers Equal Area	ADI-M	Geodetic			0.000000	1105679.860000		0.000000	0.000000		0.000000	0.000000			-5.500000	10.500000	0.000000	-10.000000	0.000000	0.000000															Warning-Equivalent
9	NAR-A	Geodetic	NAR-A	Albers Equal Area			0.000000	-180.000000		-19801976.820000	2451650.067000		-19801976.824142	2451650.067329													-5.500000	10.500000	0.000000	-10.000000	0.000000	0.000000					Warning-Equivalent
10	NAR-A	Albers Equal Area	NAR-A	Geodetic			-19801976.820000	2451650.070000		0.000000	180.000000		0.000000	-180.000000			-5.500000	10.500000	0.000000	-10.000000	0.000000	0.000000															Warning-Equivalent
11	WGC	Geodetic	WGC	Albers Equal Area			89.500000	75.000000		-331342.299200	4401570.483000		-331342.299191	4401570.482576													50.500000	65.500000	96.000000	45.000000	0.000000	0.000000					Successful-Equivalent
