TEST CASE ID	INPUT DATUM(Code)	OUTPUT PROJECTION	OUTPUT DATUM(Code)	INPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	WGE	UPS	WGE	MGRS	S		1900000.000000	900003.000000		AZB0000000003			AZB0000000003																								Successful-Equivalent
2	WGE	UPS	WGE	MGRS	S		2000000.000000	900003.000000		BAB0000000003			BAB0000000003																								Successful-Equivalent
3	WGE	UPS	WGE	MGRS	S		2100000.000000	900003.000000		BBB0000000003			BBB0000000003																								Successful-Equivalent
4	WGE	UPS	WGE	MGRS	S		1600001.000000	1000003.000000		AUC0000100003			AUC0000100003																								Successful-Equivalent
5	WGE	UPS	WGE	MGRS	S		1700001.000000	1000003.000000		AXC0000100003			AXC0000100003																								Successful-Equivalent
6	WGE	UPS	WGE	MGRS	S		1800001.000000	1000003.000000		AYC0000100003			AYC0000100003																								Successful-Equivalent
7	WGE	UPS	WGE	MGRS	S		1900000.000000	1000003.000000		AZC0000000003			AZC0000000003																								Successful-Equivalent
8	WGE	UPS	WGE	MGRS	S		2000000.000000	1000003.000000		BAC0000000003			BAC0000000003																								Successful-Equivalent
9	WGE	UPS	WGE	MGRS	S		2100000.000000	1000003.000000		BBC0000000003			BBC0000000003																								Successful-Equivalent
10	WGE	UPS	WGE	MGRS	S		2199999.000000	1000003.000000		BBC9999900003			BBC9999900003																								Successful-Equivalent
11	WGE	UPS	WGE	MGRS	S		2299999.000000	1000003.000000		BCC9999900003			BCC9999900003																								Successful-Equivalent
12	WGE	UPS	WGE	MGRS	S		2399999.000000	1000003.000000		BFC9999900003			BFC9999900003																								Successful-Equivalent
13	WGE	UPS	WGE	MGRS	S		1100003.000000	1500001.000000		APH0000300001			APH0000300001																								Successful-Equivalent
14	WGE	UPS	WGE	MGRS	S		1200002.000000	1500001.000000		AQH0000200001			AQH0000200001																								Successful-Equivalent
15	WGE	UPS	WGE	MGRS	S		1300002.000000	1500001.000000		ARH0000200001			ARH0000200001																								Successful-Equivalent
16	WGE	UPS	WGE	MGRS	S		1400002.000000	1500001.000000		ASH0000200001			ASH0000200001																								Successful-Equivalent
17	WGE	UPS	WGE	MGRS	S		1500001.000000	1500001.000000		ATH0000100001			ATH0000100001																								Successful-Equivalent
18	WGE	UPS	WGE	MGRS	S		1600001.000000	1500001.000000		AUH0000100001			AUH0000100001																								Successful-Equivalent
19	WGE	UPS	WGE	MGRS	S		1700001.000000	1500001.000000		AXH0000100001			AXH0000100001																								Successful-Equivalent
20	WGE	UPS	WGE	MGRS	S		1800001.000000	1500001.000000		AYH0000100001			AYH0000100001																								Successful-Equivalent
