TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	ADI-M	UTM	ADI-M	MGRS	30		768005.000000	0.000000		30NYR6800500000			30NYR6800500000																								Successful-Equivalent
2	ADI-M	UTM	ADI-M	MGRS	31		200000.000000	0.000000		31NBL0000000000			31NBL0000000000																								Successful-Equivalent
3	ADI-M	UTM	ADI-M	MGRS	31		300000.000000	0.000000		31NCL0000000000			31NCL0000000000																								Successful-Equivalent
4	ADI-M	UTM	ADI-M	MGRS	31		400000.000000	0.000000		31NDL0000000000			31NDL0000000000																								Successful-Equivalent
5	ADI-M	UTM	ADI-M	MGRS	31		500000.000000	0.000000		31NEL0000000000			31NEL0000000000																								Successful-Equivalent
6	ADI-M	UTM	ADI-M	MGRS	31		600000.000000	0.000000		31NFL0000000000			31NFL0000000000																								Successful-Equivalent
7	ADI-M	UTM	ADI-M	MGRS	31		700000.000000	0.000000		31NGL0000000000			31NGL0000000000																								Successful-Equivalent
8	ADI-M	UTM	ADI-M	MGRS	31		800000.000000	0.000000		31NHL0000000000			31NHL0000000000																								Successful-Equivalent
9	ADI-M	UTM	ADI-M	MGRS	32		231995.000000	0.000000		32NKR3199500000			32NKR3199500000																								Successful-Equivalent
10	ADI-M	UTM	ADI-M	MGRS	30		765943.000000	499447.000000		30NYV6594399447			30NYV6594399447																								Successful-Equivalent
11	ADI-M	UTM	ADI-M	MGRS	31		200000.000000	500000.000000		31NBR0000000000			31NBR0000000000																								Successful-Equivalent
12	ADI-M	UTM	ADI-M	MGRS	31		300000.000000	500000.000000		31NCR0000000000			31NCR0000000000																								Successful-Equivalent
13	ADI-M	UTM	ADI-M	MGRS	31		400000.000000	500000.000000		31NDR0000000000			31NDR0000000000																								Successful-Equivalent
14	ADI-M	UTM	ADI-M	MGRS	31		500000.000000	500000.000000		31NER0000000000			31NER0000000000																								Successful-Equivalent
15	ADI-M	UTM	ADI-M	MGRS	31		600000.000000	500000.000000		31NFR0000000000			31NFR0000000000																								Successful-Equivalent
16	ADI-M	UTM	ADI-M	MGRS	31		700000.000000	500000.000000		31NGR0000000000			31NGR0000000000																								Successful-Equivalent
17	ADI-M	UTM	ADI-M	MGRS	31		800000.000000	500000.000000		31NHR0000000000			31NHR0000000000																								Successful-Equivalent
18	ADI-M	UTM	ADI-M	MGRS	32		234057.000000	499447.000000		32NKV3405799447			32NKV3405799447																								Successful-Equivalent
19	ADI-M	UTM	ADI-M	MGRS	30		759771.000000	998847.000000		30PYE5977198847			30PYE5977198847																								Successful-Equivalent
