TEST CASE ID	INPUT DATUM(Code)	INPUT PROJECTION	OUTPUT DATUM(Code)	OUTPUT PROJECTION	INPUT ZONE	OUTPUT ZONE	INPUT_COORDS			OUTPUT_COORDS			CALCULATED_OUTPUT_COORDS				INPUT_SYSTEM_PARAMETERS										OUTPUT_SYSTEM_PARAMETERS										RESULTS
					OR HEMISPHERE	OR HEMISPHERE	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	"Lat, Easting, String or X"	"Lon, Northing or Y"	Height or Z	Calculated Zone or Hemisphere	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	1st Standard Parallel or Scale Factor	2nd Standard Parallel	Central Meridian	Origin Latitude	False Easting or Origin Height	False Northing or Orientation	Longitude 1	Latitude 1	Longitude 2	Latitude 2	

1	WGE	UTM	WGE	MGRS	-30		767992.500000	9999999.400000		30MYE6799399999			30MYE6799299999																								Successful-Equivalent
2	WGE	UTM	WGE	MGRS	-31		199999.400000	9999999.400000		31MAV9999999999			31MAV9999999999																								Successful-Equivalent
3	WGE	UTM	WGE	MGRS	-31		299999.400000	9999999.400000		31MBV9999999999			31MBV9999999999																								Successful-Equivalent
4	WGE	UTM	WGE	MGRS	-31		399999.400000	9999999.400000		31MCV9999999999			31MCV9999999999																								Successful-Equivalent
5	WGE	UTM	WGE	MGRS	-31		499999.400000	9999999.400000		31MDV9999999999			31MDV9999999999																								Successful-Equivalent
6	WGE	UTM	WGE	MGRS	-31		599999.400000	9999999.400000		31MEV9999999999			31MEV9999999999																								Successful-Equivalent
7	WGE	UTM	WGE	MGRS	-31		699999.400000	9999999.400000		31MFV9999999999			31MFV9999999999																								Successful-Equivalent
8	WGE	UTM	WGE	MGRS	-31		799999.400000	9999999.400000		31MGV9999999999			31MGV9999999999																								Successful-Equivalent
9	WGE	UTM	WGE	MGRS	-32		232006.300000	9999999.400000		32MKE3200699999			32MKE3200699999																								Successful-Equivalent
10	WGE	UTM	WGE	MGRS	30		765930.900000	499446.300000		30NYK6593199446			30NYK6593099446																								Successful-Equivalent
11	WGE	UTM	WGE	MGRS	31		199999.400000	499999.400000		31NAE9999999999			31NAE9999999999																								Successful-Equivalent
12	WGE	UTM	WGE	MGRS	31		299999.400000	499999.400000		31NBE9999999999			31NBE9999999999																								Successful-Equivalent
13	WGE	UTM	WGE	MGRS	31		399999.400000	499999.400000		31NCE9999999999			31NCE9999999999																								Successful-Equivalent
14	WGE	UTM	WGE	MGRS	31		499999.400000	499999.400000		31NDE9999999999			31NDE9999999999																								Successful-Equivalent
15	WGE	UTM	WGE	MGRS	31		599999.400000	499999.400000		31NEE9999999999			31NEE9999999999																								Successful-Equivalent
16	WGE	UTM	WGE	MGRS	31		699999.400000	499999.400000		31NFE9999999999			31NFE9999999999																								Successful-Equivalent
17	WGE	UTM	WGE	MGRS	31		799999.400000	499999.400000		31NGE9999999999			31NGE9999999999																								Successful-Equivalent
18	WGE	UTM	WGE	MGRS	32		234067.900000	499446.300000		32NKK3406899446			32NKK3406799446																								Successful-Equivalent
19	WGE	UTM	WGE	MGRS	30		759759.300000	998845.900000		30PYQ5975998846			30PYQ5975998845																								Successful-Equivalent
20	WGE	UTM	WGE	MGRS	31		199999.400000	999999.400000		31PAK9999999999			31PAK9999999999																								Successful-Equivalent
